name,speciality,rating,delivery_time,pricing,offer,conditions
FC Road Social,"Indian, Chinese, South Indian, American, Fast Food, Kebabs, Mughlai, Biryani, Co...",4.0,53 MINS,Rs. 500 FOR TWO,15% off on all orders,Rs. 30 distance fee applicable
Coffee And Me,Cafe,4.0,42 MINS,Rs. 350 FOR TWO, ,Rs. 10 distance fee applicable
Pizza Pixels,"Italian, Pizzas",3.6,50 MINS,Rs. 300 FOR TWO, ,Rs. 30 distance fee applicable
Foodginie Express,"Fast Food, North Indian",4.0,48 MINS,Rs. 150 FOR TWO, ,Rs. 30 distance fee applicable
Salad Men,"Healthy Food, Beverages",4.1,45 MINS,Rs. 500 FOR TWO, ,Rs. 30 distance fee applicable
Badshah,"Fast Food, North Indian, South Indian, Chinese, Desserts",4.1,44 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Hungry Hippos,"Chinese, North Indian",3.5,45 MINS,Rs. 200 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Burger 69 & More,"Cafe, American, Fast Food",3.5,34 MINS,Rs. 300 FOR TWO, , 
The Asian Box,"Indonesian, Malaysian, Chinese, Asian, Thai, Burmese",3.8,34 MINS,Rs. 800 FOR TWO, , 
Boteco,"South American, Fast Food",3.9,35 MINS,Rs. 800 FOR TWO, , 
La Pino'z Pizza,Pizzas,3.5,43 MINS,Rs. 550 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
The Momo Box,"Bhutanese, Fast Food, Nepalese, Chinese",4.0,45 MINS,Rs. 150 FOR TWO,30% off on all orders,Rs. 10 distance fee applicable
Chafa Cafe and Studio,Cafe,4.2,34 MINS,Rs. 800 FOR TWO, , 
the wok box,"Chinese, Fast Food",3.7,48 MINS,Rs. 300 FOR TWO,30% off on all orders,Rs. 30 distance fee applicable
Biryani By Kilo,"Biryani, Mughlai, Kebabs, North Indian, Hyderabadi, Lucknowi, Andhra, South Indi...",3.7,49 MINS,Rs. 700 FOR TWO, ,Rs. 30 distance fee applicable
Mad Pav Bhaji,Street Food,3.8,46 MINS,Rs. 400 FOR TWO, ,Rs. 30 distance fee applicable
Dragon Fire,Chinese,3.6,44 MINS,Rs. 250 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Shakes and Bites,"Continental, American, Desserts, Fast Food, Italian, Ice Cream, Beverages",3.6,43 MINS,Rs. 300 FOR TWO,30% off on orders above Rs. 199,Rs. 10 distance fee applicable
SagarG,"Chinese, Fast Food, Continental, Beverages, Pastas",3.9,53 MINS,Rs. 400 FOR TWO,20% off on all orders,Rs. 30 distance fee applicable
Swiss Bakes,"Desserts, Fast Food, Bakery",3.9,49 MINS,Rs. 250 FOR TWO,50% off on all orders,Rs. 30 distance fee applicable
Maggie In A Bowl,"Bhutanese, Fast Food, Nepalese, Tibetan",3.8,43 MINS,Rs. 150 FOR TWO,40% off on all orders,Rs. 10 distance fee applicable
Mad House Grill,"Continental, Salads",3.8,30 MINS,Rs. 1000 FOR TWO, , 
Immunity Booster Meals By Lunchbox,"Fast Food, North Indian, Biryani, Desserts",--,44 MINS,Rs. 200 FOR TWO,20% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Hindustani Tadka,Indian,--,45 MINS,Rs. 200 FOR TWO, ,Rs. 10 distance fee applicable
